feature,h,n,ic,t_nw,yr_sign_consistency,n_years
hash_mom_30,1,3617,0.022628972277715757,1.3186324716583944,0.7,10
fee_z,1,3564,0.04665729195020782,2.7105745449361933,0.5,10
txtfr_mom_30,1,3617,0.023124299262966917,1.3573579037398733,0.6,10
ethbtc_ch_7,1,2330,0.03220063668376323,1.4983382033006134,0.5714285714285714,7
ethbtc_ch_30,1,2307,-0.0085812630082185,-0.42366447329513884,0.7142857142857143,7
stbl_gr_7,1,1239,0.03639321033649847,1.3210895669855112,0.5,4
stbl_gr_30,1,1216,0.05255064088254421,1.932778277173057,0.75,4
funding,1,731,-0.07479361301681021,-2.0750738934927515,1.0,2
funding_3d,1,729,-0.0533654187143917,-1.5035535102983157,1.0,2
funding_z_30,1,702,-0.017382930072766267,-0.47165275749650526,0.5,2
ret_1d,2,3652,0.000493205699540756,0.029281516062673898,0.3,10
ret_3d,2,3650,0.04780504802095994,2.22812761227315,0.6,10
ret_7d,2,3646,0.07491435092499768,3.3840225170790426,0.7,10
ret_14d,2,3639,0.0850983926707874,3.6114951945640157,0.7,10
ret_30d,2,3623,0.08485073383755819,3.490258891873506,0.6,10
ret_90d,2,3563,0.09217562038186355,3.7876865772722637,0.4,10
ma_z_30,2,3624,0.10440531112921204,4.817709901162625,0.8,10
ma_z_90,2,3564,0.12080492908758411,5.267631444742233,0.5,10
ma_z_200,2,3454,0.11172889745532921,4.696016510921187,0.2,10
dd_90,2,3564,0.09800296070355456,4.139946076632566,0.5,10
ru_90,2,3564,0.08751275770262963,3.7175436603680097,0.3,10
rangepos_7,2,3647,0.06684911786103459,3.265830003308578,0.4,10
rv,2,3653,0.04025111383641885,2.000130905378601,0.8,10
rv_ratio_3_30,2,3624,0.04135302841290641,1.8961253049207263,0.7,10
rv_rank,2,3474,0.07669998990881849,3.7030881080303573,0.8,10
park_ratio,2,3624,0.04721841495324474,2.1885073647033315,0.7,10
volu_z_7_90,2,3472,0.11665799382030369,5.05806513287718,0.7,10
spotvol_z,2,3564,0.08912655967226966,3.8023722386225693,0.6,10
upvol_share_7,2,3647,0.08590096626156735,4.131016168459556,0.9,10
mvrv,2,3653,0.07067647855157613,3.032816124584978,0.3,10
mvrv_rank,2,3474,0.124907710944705,5.4780384648932925,0.6,10
mvrv_ch_30,2,3623,0.07558083900305729,3.1667586985052294,0.7,10
netflow_7,2,3647,-0.008668485506272559,-0.40392905001839835,0.5,10
netflow_30,2,3624,0.004598421892680603,0.2082942800076928,0.5,10
netflow_rank,2,3468,-0.008092958622788844,-0.352230401641829,0.5,10
splyex_ch_7,2,3646,-0.007947571445768428,-0.37014315397744624,0.5,10
splyex_ch_30,2,3623,0.003987477921565861,0.18066732049637155,0.5,10
flowin_z,2,3564,0.06892295515520412,2.9136937684930926,0.8,10
adr_mom_30,2,3617,0.05077405844931002,2.236552359540613,0.5,10
adr_px_div,2,3617,-0.059354083083680044,-2.520455657099798,0.6,10
hash_mom_30,2,3617,0.0333291618295393,1.4224905432315489,0.7,10
fee_z,2,3564,0.054017642758733025,2.303947211134028,0.4,10
txtfr_mom_30,2,3617,0.027596021462652758,1.2283190859758784,0.5,10
ethbtc_ch_7,2,2330,0.0002612945333669475,0.010075666608460949,0.42857142857142855,7
ethbtc_ch_30,2,2307,-0.032047866692480796,-1.194648370996877,0.8571428571428571,7
stbl_gr_7,2,1239,0.038319051269785534,1.0155541522123368,0.25,4
stbl_gr_30,2,1216,0.08336706068835814,2.1503620950153506,0.5,4
funding,2,731,-0.09035916128559793,-1.8842338231390843,1.0,2
funding_3d,2,729,-0.07922757013674088,-1.619528887008181,1.0,2
funding_z_30,2,702,0.018155763741382985,0.41535926763723446,0.5,2
ret_1d,3,3652,0.018508173623722216,1.0260436431022735,0.4,10
ret_3d,3,3650,0.05887680530980056,2.4427152800721386,0.7,10
ret_7d,3,3646,0.0827874987321441,3.061288029937926,0.7,10
ret_14d,3,3639,0.10948914748718461,3.8092822095805494,0.8,10
ret_30d,3,3623,0.10559185559817062,3.562736245510664,0.6,10
ret_90d,3,3563,0.10531299236710047,3.519287600470637,0.4,10
ma_z_30,3,3624,0.1324618309189524,5.0379425695032465,0.8,10
ma_z_90,3,3564,0.14742761399499468,5.291620959815465,0.5,10
ma_z_200,3,3454,0.13323089003928984,4.5394674427265445,0.3,10
dd_90,3,3564,0.12080980761998526,4.181520529230724,0.5,10
ru_90,3,3564,0.10353738390578268,3.58896259821928,0.4,10
rangepos_7,3,3647,0.08150666408075852,3.4045122862288926,0.7,10
rv,3,3653,0.04923443238742047,2.0530766997720504,0.7,10
rv_ratio_3_30,3,3624,0.0554256972909736,2.1790356410082747,0.7,10
rv_rank,3,3474,0.08834944124996327,3.565824639994056,0.7,10
park_ratio,3,3624,0.0646334989344615,2.551710438561851,0.7,10
volu_z_7_90,3,3472,0.1397827232326515,4.9586146862988265,0.7,10
spotvol_z,3,3564,0.10976628869043778,3.800578901976627,0.6,10
upvol_share_7,3,3647,0.1004413747061826,4.028861214553738,0.8,10
mvrv,3,3653,0.08006219005402608,2.779883351967764,0.3,10
mvrv_rank,3,3474,0.14748473520530203,5.264843755422259,0.5,10
mvrv_ch_30,3,3623,0.09121685244943291,3.120164413981336,0.7,10
netflow_7,3,3647,-0.002756578182134304,-0.10858204622716193,0.5,10
netflow_30,3,3624,0.012064088812373192,0.44351052082677417,0.6,10
netflow_rank,3,3468,-0.0019612006203507545,-0.07302480042152361,0.5,10
splyex_ch_7,3,3646,-0.003247948700539516,-0.12785171430040365,0.5,10
splyex_ch_30,3,3623,0.011310515310795667,0.4155057297881569,0.6,10
flowin_z,3,3564,0.09265977573051028,3.2240262698109468,0.8,10
adr_mom_30,3,3617,0.07040892355065441,2.5250549112374117,0.6,10
adr_px_div,3,3617,-0.07117569406716144,-2.4677381933826408,0.6,10
hash_mom_30,3,3617,0.039146274041395736,1.3481085267028625,0.6,10
fee_z,3,3564,0.07450501685324011,2.6663834935732225,0.4,10
txtfr_mom_30,3,3617,0.04483135594338992,1.6520808997406766,0.6,10
ethbtc_ch_7,3,2330,0.007384893864935587,0.24460028888826169,0.42857142857142855,7
ethbtc_ch_30,3,2307,-0.03608311220776155,-1.1151015646100313,0.8571428571428571,7
stbl_gr_7,3,1239,0.0467503455190918,1.0203521680578305,0.25,4
stbl_gr_30,3,1216,0.09723399026836109,2.1046975870110165,0.5,4
funding,3,731,-0.1045058783386742,-1.7894267837597413,1.0,2
funding_3d,3,729,-0.0921806344832042,-1.5176854377223108,1.0,2
funding_z_30,3,702,0.026908590661059786,0.5618760802075281,1.0,2
