date,open,high,low,close,vol_btc,vol_usd,rv_5m,rv_park,adr_act,mvrv,fee_ntv,flow_in_ex,flow_out_ex,hashrate,sply,sply_ex,tx_tfr,spot_vol_usd,eth_price,stbl_sply,funding_daily,fwd_ret_1d,fwd_ret_2d,fwd_ret_3d
2018-12-31,3831.03,3842.89,3630.0,3693.3,6667.16373743,25008411.881046344,0.04020268789675015,0.034919811482648125,514111.0,0.8415034,13.27720853,14908.95153198,16333.24690378,44676132.2352862,17453679.82740804,2591280.97855026,516115.0,826508203.430291,138.401716247808,2829511548.503429,,0.03463017361107002,0.050826529633585596,0.025267648331384132
2019-01-01,3693.85,3845.46,3629.66,3823.44,5149.60627729,19112182.305899143,0.03159951881692459,0.030907015171931757,557851.0,0.81213582,16.13595059,24108.57177965,32832.19288575,40567549.5659183,17455617.32738074,2582557.35744416,548944.0,810127756.5338,130.790460549386,2831273391.303429,,0.016196356022515526,-0.009362525279686007,-0.0014997745297637476
2019-01-02,3825.41,3918.67,3770.0,3885.87,5534.46951453,21204648.83259347,0.027030542552850874,0.02574114780079879,433715.0,0.8391035,11.26348285,13077.49756112,14814.4780841,41615985.2733756,17457479.82738074,2580820.37692118,448759.0,665138362.982127,139.154644360023,2842815630.463429,,-0.025558881302201554,-0.01769613055227931,-0.024495507563375023
2019-01-03,3890.27,3893.4,3760.0,3787.81,4803.2461092,18342230.15478194,0.025800022117947873,0.02165071837008398,578607.0,0.85907301,18.19523851,29067.28603316,30912.41938277,42174589.1025484,17459367.32735344,2578975.24357157,545632.0,907331210.632897,154.426368790181,2867523581.483429,,0.007862750749922166,0.0010633737388264465,0.06463240343547284
2019-01-04,3785.64,3850.33,3732.38,3817.71,7452.05894356,28218551.1589586,0.024984578701787427,0.026304991767141895,598436.0,0.83487141,19.07117994,34228.84860088,41097.63097235,43291796.7608941,17461304.82732614,2572106.4612001,599287.0,741905483.098637,147.06208679135,2867287984.863429,,-0.006799377011095738,0.05676965268555061,0.04800516733817445
2019-01-05,3822.0,3887.09,3780.0,3791.84,3656.37531439,14019179.413419094,0.02644582689783923,0.021093705490137622,580495.0,0.8447265,19.35680045,32180.7387003,35139.12770704,41615985.2733756,17463167.32729884,2569148.07219336,581832.0,924367155.186942,153.442376972531,2871644886.503429,,0.06356902969664632,0.05480454434927016,0.052167158206086015
2019-01-06,3795.38,4090.0,3753.0,4040.71,5400.71486407,21426605.639127266,0.04623288702668314,0.044481163730530654,519070.0,0.83856669,12.55146445,21272.52408646,16238.97004975,45526212.0775854,17465204.82729884,2574181.62623007,533367.0,825443658.133947,154.301756867329,2871638453.303429,,-0.008764485347376247,-0.011401871490560368,-0.009593699714322244
2019-01-07,4040.71,4070.0,3964.01,4005.45,7445.09600426,29914392.38878444,0.024409905921657808,0.023377832188998256,498140.0,0.89346662,16.27735965,17795.65563719,14072.62008576,39381569.9566843,17466967.32729884,2577904.6617815,508201.0,1030998166.86515,155.940283167738,2882773807.013429,,-0.0026373861431841132,-0.0008292143669460086,-0.09910947126711278
2019-01-08,4005.0,4112.0,3934.73,3994.9,11819.98676966,47479488.987771235,0.025522084539628894,0.028427351631431487,613474.0,0.8841578,24.30263189,34477.45050467,28471.60790209,39381569.9566843,17468729.82727154,2583910.50438408,602831.0,1053956184.35001,150.346131794272,2895368023.633429,,0.0018081717762380538,-0.09647208512392877,-0.09522958028402365
2019-01-09,3994.75,4060.0,3948.44,4002.13,7390.13399203,29623432.965948656,0.02180758405999572,0.021085048683254542,607366.0,0.88278743,20.662824,32599.43886448,28533.78989214,47202023.5651039,17470842.32724424,2587976.15335642,612637.0,1123494744.94983,149.052762711864,2905036707.753429,,-0.09828025690016687,-0.09703775206026172,-0.10114582568010158
